Baptisia australis	Fabaceae	Lupin indigo	blue false indigo	Indigolupine		Australische Färberhülse~Blaue Färberhülse~blue wild indigo
Baptisia bracteata	Fabaceae		longbract wild indigo			
Baptisia calycosa	Fabaceae		Florida wild indigo			
Baptisia cinerea	Fabaceae		grayhairy wild indigo			
Baptisia lanceolata	Fabaceae		gopherweed			
Baptisia lecontei	Fabaceae		pineland wild indigo			
Baptisia megacarpa	Fabaceae		Apalachicola wild indigo			
Baptisia nuttalliana	Fabaceae		Nuttall's wild indigo			
Baptisia perfoliata	Fabaceae		cat's bells			catbells~eucalyptus wild indigo
Baptisia simplicifolia	Fabaceae		scareweed			
Baptisia sphaerocarpa	Fabaceae		Round Wild Indigo			yellow wild indigo
Baptisia tinctoria	Fabaceae		horseflyweed			
Baptisia × bushii	Fabaceae	Baptisia ×bushii	Baptisia ×bushii	Baptisia ×bushii	Baptisia ×bushii	
Barbarea balcana	Brassicaceae		Balkan Yellow Rocket			
Barbarea bosniaca	Brassicaceae		Bosnian Yellow Rocket			
Barbarea grandiflora	Brassicaceae		Large-flowered Barbarea			
Barbarea intermedia	Brassicaceae	barbarée intermédiaire	medium flowered winter-cress	Mittlere Winterkresse		Mittleres Barbarakraut
Barbarea lutea	Brassicaceae		Artvinian Barbarea			
Barbarea macrocarpa	Brassicaceae			Ceriosperma macrocarpa		
Barbarea orthoceras	Brassicaceae		American yellowrocket			
Barbarea stricta	Brassicaceae	barbarée raide	small flowered winter-cress	Steife Winterkresse		small-flowered winter-cress
Barbarea verna	Brassicaceae	Cresson de Jardin	Upland Cress	Cresson de Jardin		Cresson de jardins~Cresson de terre~Frühe Winterkresse~American Cress~American Winter Cress~Early Winter Cress
Barbarea vulgaris	Brassicaceae	Barbarée commune	bittercress	Winterkresse		Herbe aux Charpentiers~Herbe de Sainte-Barbe~Barbarakraut~Echte Winterkresse~Echtes Barbarakraut~Echtes Barbenkraut
Barbella pendula	Meteoriaceae		pendulous barbella moss			
Barbeya oleoides	Barbeyaceae	Barbeyacée		Barbeyaceae	Barbeyaceae	Barbeyacées
Barbieria pinnata	Fabaceae		clitoria			
Barbilophozia barbata	Anastrophyllaceae			Bärtiges Bartspitzkelch-Lebermoos		Gewöhnliches Bart-Spitzmoos
Barbilophozia kunzeana	Anastrophyllaceae			Kunzes Bart-Spitzmoos		Kunzes Zilienlebermoos
Barbilophozia lycopodioides	Anastrophyllaceae			Bärlappartiges Bartspitzkelch-Lebermoos		Großes Bart-Spitzmoos
Barbula acuta	Pottiaceae		Acute bearded moss			
Barbula amplexifolia	Pottiaceae		barbula moss			
Barbula convoluta	Pottiaceae		convoluted barbula moss			
Barbula coreensis	Pottiaceae		barbula moss			
Barbula crocea	Pottiaceae			Sumpf-Bärtchenmoos		
Barbula ehrenbergii	Pottiaceae		Ehrenberg's barbula moss			
Barbula indica	Pottiaceae		barbula moss			
Barbula lurida	Pottiaceae			Bräunliches Doppelzahnmoos		
Barbula tophacea	Pottiaceae		Round-apexed bearded moss			
Barbula unguiculata	Pottiaceae		barbula moss	Gespitztblättriges Bärtchenmoos		Yellow-veined bearded moss
Barclaya longifolia	Nymphaeaceae		Orchid Lily			
Barkeria naevosa	Orchidaceae		Veined Barkeria			
Barkleyanthus salicifolius	Asteraceae		willow ragwort			
Barleria cristata	Acanthaceae		Philippine violet			crested Philippine violet
Barleria elegans	Acanthaceae		white bushveld barleria			
Barleria heterotricha	Acanthaceae		Downy barleria			
Barleria lupulina	Acanthaceae		hophead Philippine violet			
Barleria opaca	Acanthaceae		kwahu			
Barleria prionitis	Acanthaceae	Picanier jaune	Yellow Hedge Barleria			Porcupine flower
Barleriola solanifolia	Acanthaceae		false Philippine violet			
Barnardia japonica	Asparagaceae			Ostasiatischer Blaustern		
Baronia brevicornis	Anacardiaceae		Short-horned Baronia		Baroniinae	Baroniini
Barringtonia acutangula	Lecythidaceae		freshwater mangrove			Hijal~hijjal tree~itchytree~mango-pine
Barringtonia asiatica	Lecythidaceae		Beach Barringtonia			Fish Poison Tree~Mango Pine
Barringtonia calyptrata	Lecythidaceae		China pine			Blue-fruited Barringtonia~Cassowary pine~Corned beef wood~Mango pine
Barringtonia racemosa	Lecythidaceae		freshwater mangrove			cassowary pine~mango pine
Barringtonia samoensis	Lecythidaceae		Barringtonia samoënsis (optional)			
Bartlettia scaposa	Asteraceae		Bartlett daisy			
Bartonia paniculata	Gentianaceae		twining screwstem			
Bartonia texana	Gentianaceae		Texas screwstem			twining screwstem
Bartonia verna	Gentianaceae		white screwstem			
Bartonia virginica	Gentianaceae		yellow screwstem			
Bartramia glauca	Primulaceae		bartramia moss			
Bartramia halleriana	Primulaceae		Haller's bartramia moss	Hallers Apfelmoos		
Bartramia ithyphylla	Primulaceae		Straight-leaved apple moss			bartramia moss
Bartramia longicauda	Primulaceae	Maubèche des champs	Upland Sandpiper	Prärieläufer	Piro piro codalunga	bartramie des champs~Bartram's Sandpiper
Bartramia microstoma	Primulaceae		bartramia moss			
Bartramia pomiformis	Primulaceae		Apple moss	Echtes Apfelmoos		Apfelmoos~bartramia moss
Bartramia stricta	Primulaceae		bartramia moss			Rigid Apple Moss~Upright apple-moss
Bartramia subulata	Primulaceae		bartramia moss			
Bartramidula wilsonii	Bartramiaceae		Wilson's bartramidula moss			
Bartramiopsis lescurii	Polytrichaceae		false apple moss			Lescur's bartramiopsis moss
Bartsia alpina	Orobanchaceae	Bartsie des Alpes	velvetbells	Alpenhelm		Alpen-Bartschie
Bartsia trixago	Orobanchaceae	Bartsie trixago		Bunte Bellardie		Bellardie
Basananthe sandersonii	Passifloraceae		miniature granadilla			
Basella alba	Basellaceae	Épinard de Malabar	Ceylon spinach	Indischer Spinat		Malabarspinat~Malabar Spinach~vine spinach~New Zealand Spinach
Basilicum polystachyon	Lamiaceae		musk basil			
Basselinia pancheri	Arecaceae		Black basselinia			
Bassia aegyptiaca	Amaranthaceae			Bassia aegyptiaca Turki, El Shayeb & F.Shehata		
Bassia americana	Amaranthaceae		green molly			
Bassia californica	Amaranthaceae		rusty molly			
Bassia dinteri	Amaranthaceae			Chenoleoides dinteri		
Bassia eriantha	Amaranthaceae			Londesia eriantha		
Bassia eriophora	Amaranthaceae			Kochia eriophora		
Bassia hirsuta	Amaranthaceae		hairy seablite	Rauhhaarige Dornmelde		Rauhaarige Dornmelde~hairy smotherweed
Bassia hyssopifolia	Amaranthaceae		five-hooked brassia			fivehorn smotherweed
Bassia laniflora	Amaranthaceae	Bassia des sables		Sand-Radmelde		Kochia arenaria~Kochia dasyantha
Bassia lasiantha	Amaranthaceae			Kirilowia eriantha		
Bassia littorea	Amaranthaceae			Kochia littorea		Kochia scoparia var. littorea
Bassia muricata	Amaranthaceae			Bassia aegyptiaca All.		
Bassia odontoptera	Amaranthaceae			Kochia odontoptera		
Bassia pilosa	Amaranthaceae			Kochia monticola		Panderia monticola
Bassia prostrata	Amaranthaceae	Bassia couchée	forage kochia	Halbstrauch-Radmelde		Chenopodium prostratum (L.) Moq.
Bassia salsoloides	Amaranthaceae			Kochia pubescens		Kochia pubescens var. cinerascens
Bassia saxicola	Amaranthaceae			Kochia saxicola		
Bassia scoparia	Amaranthaceae		burningbush	Besen-Radmelde		Bushiola scoparia~Kochia scoparia~Sommerzypresse~Mexican-fireweed
Bassia tomentosa	Amaranthaceae			Salsola lanata Masson		
Bassia villosissima	Amaranthaceae			Kochia prostrata var. villosissima		Kochia villosissima
Bastardiopsis eggersii	Malvaceae		Jost Van Dyke's Indian mallow			
Batesia hypochlora	Fabaceae		Painted Beauty			
Batesimalva violacea	Malvaceae		purple gaymallow			
Batis capensis	Bataceae	Gobemouche soyeux du Cap	Cape Batis	Kapschnäpper	Batis del Capo	Pririt du Cap
Batis crypta	Bataceae	Pririt obscur	Dark Batis	Iringaschnäpper		
Batis diops	Bataceae	Gobemouche soyeux du Ruwenzori	Ruwenzori Batis	Ruwenzorischnäpper	Batis del Ruwenzori	Pririt du Ruwenzori~Pririt du Rwenzori~Rwenzori Batis
Batis erlangeri	Bataceae	Pririt d'Erlanger	Western Black-headed Batis	Kongoschnäpper		Pririt d’Erlanger
Batis fratrum	Bataceae	Batis des frères Woodward	Woodward's Batis	Mosambikschnäpper	Batis di Woodward	Pririt de Woodward~Pririt des Woodward~Zuluschnäpper~Woodwards' Batis~Zululand Batis
Batis ituriensis	Bataceae	Batis de l'Ituri	Ituri Batis	Iturischnäpper	Batis dell'Ituri	Pririt d'Ituri~Pririt de l’Ituri
Batis margaritae	Bataceae	Batis de Margaret	Boulton's Batis	Boultonschnäpper	Batis di Boulton	Pririt de Boulton~Margaret's Batis
Batis maritima	Bataceae		Beachwort			Saltwort~turtleweed~maritime saltwort
Batis minima	Bataceae	Gobemouche soyeux à tête grise	Gabon Batis	Gabunschnäpper	Batis di Verreaux	Pririt de Verreaux~Verreaux's Batis
Batis minor	Bataceae	Pririt à joues noires	Eastern Black-headed Batis	Keniaschnäpper		
Batis minulla	Bataceae	Gobemouche soyeux d'Angola	Angola puff-back flycatcher	Angolaschnäpper	Batis d'Angola	Pririt d'Angola~Pririt d’Angola~Angolan Batis
Batis mixta	Bataceae	Pririt à queue courte	Forest Batis	Kurzschwanzschnäpper		Short-tailed Batis
Batis molitor	Bataceae	Gobemouche soyeux molitor	Chinspot Batis	Weißflankenschnäpper		Pririt molitor~Chin spot puff-back flycatcher
Batis occulta	Bataceae		West African Batis			
Batis orientalis	Bataceae	Pririt à tête grise	Grey-headed Batis	Heuglinschnäpper	Pigliamosche mascherato testagrigia	
Batis perkeo	Bataceae	Pririt pygmée	Pygmy Batis	Däumlingsschnäpper		
Batis poensis	Bataceae	Pririt de Fernando Po	Fernando Po Batis	Alexanderschnäpper	Batis di Fernando Po	Biokoschnäpper
Batis pririt	Bataceae	Pririt de Vieillot	Pririt Batis	Piritschnäpper		Priritschnäpper~Pririt puff-back flycatcher~Pririt puffback~Pririt puffback flycatcher
Batis reichenowi	Bataceae	Pririt de Reichenow	Reichenow's Batis	Reichenowschnäpper		
Batis senegalensis	Bataceae	Gobemouche soyeux du Sénégal	Senegal Batis	Senegalschnäpper	Batis del Senegal	Pririt du Sénégal
Batis soror	Bataceae	Batis du Mozambique	Mozambique Batis	Kinnfleckschnäpper		Pririt pâle~Pale Batis
Batrachospermum gelatinosum	Batrachospermaceae			Froschlaichalge		
Bauhinia acuminata	Fabaceae		dwarf white bauhinia			snowy orchid-tree~white orchid-tree
Bauhinia bowkeri	Fabaceae		Kei Bauhinia			
Bauhinia carronii	Fabaceae		northern beantree			
Bauhinia coccinea	Fabaceae	Banhinia coccinea			Banhinia coccinea	
Bauhinia cunninghamii	Fabaceae		Bean Tree			Jigal Tree~Kimberley Bauhinia
Bauhinia forficata	Fabaceae	Pata-de-vaca	cow's-foot			Patte de vache~Orchid Tree
Bauhinia galpinii	Fabaceae		African plume			Pride of De Kaap~Pride of the Cape
Bauhinia holophylla	Fabaceae		cow's pow			
Bauhinia lunarioides	Fabaceae		Texasplume			
Bauhinia madagascariensis	Fabaceae		Bagnaky			
Bauhinia monandra	Fabaceae	Arbre orchidée	Napoleon's plume			
Bauhinia multinervia	Fabaceae		petite flamboyant bauhinia			
Bauhinia pauletia	Fabaceae		railroadfence			railway fence bauhinia
Bauhinia purpurea	Fabaceae		butterfly tree			Butterfly-tree~Camel's foot~Purple bauhinia~Hawaiian Orchid Tree~Hong Kong Orchid Tree~Purple Camel's Foot
Bauhinia racemosa	Fabaceae		Bidi leaf tree			
Bauhinia scandens	Fabaceae		Lasiobema scandens; Bauhinia scandens			
Bauhinia tomentosa	Fabaceae		Camel foot tree			St. Thomas tree
Bauhinia x blakeana	Fabaceae		Hong Kong Orchid Tree			
Bauhinia yunnanensis	Fabaceae		Yunnan bauhinia			
Bazzania bhutanica	Lepidoziaceae		B. bhutanica			
Bazzania tricrenata	Lepidoziaceae			Niederliegendes Peitschenmoos		
Beaucarnea recurvata	Asparagaceae		Elephant's-foot	Elefantenfuß		
Beccariophoenix alfredii	Arecaceae			Hochland-Kokospalme		
Beccariophoenix madagascariensis	Arecaceae		Manarano palm			
Beckmannia eruciformis	Poaceae			Westsibirisches Doppelährengras		
Beckmannia syzigachne	Poaceae		American slough grass			American sloughgrass
Begonia baramensis	Begoniaceae	Begonia baramensis Merr.	Begonia baramensis Merr.	Begonia baramensis Merr.	Begonia baramensis Merr.	
Begonia bowerae	Begoniaceae		Eyelash Begonia	Wimpern-Begonie		Wimpernbegonie
Begonia coccinea	Begoniaceae		scarlet begonia			
Begonia convolvulacea	Begoniaceae		morning-glory begonia			
Begonia cucullata	Begoniaceae		clubed begonia			
Begonia decandra	Begoniaceae		native begonia			
Begonia eiromischa	Begoniaceae		Woolly-stalked Begonia			
Begonia emeiensis	Begoniaceae		Mount Emei begonia			Mount Omei begonia
Begonia foliosa	Begoniaceae		fuchsia begonia			
Begonia fuchsioides	Begoniaceae		Fuchsia Begonia			
Begonia glabra	Begoniaceae			Kletter-Begonie		
Begonia grandis	Begoniaceae		hardy begonia			
Begonia handroi	Begoniaceae	Begonia handroi Brade	Begonia handroi Brade	Begonia handroi Brade	Begonia handroi Brade	
Begonia heracleifolia	Begoniaceae		starleaf begonia			
Begonia hirtella	Begoniaceae		Brazilian begonia			
Begonia hydrocotylifolia	Begoniaceae		Pennywort Begonia			
Begonia kingiana	Begoniaceae		Tortoise Shell Begonia			
Begonia listada	Begoniaceae		striped begonia			
Begonia luxurians	Begoniaceae		Scheidweileria luxurians			
Begonia malipoensis	Begoniaceae		Begonia ×malipoensis			
Begonia maxwelliana	Begoniaceae	Begonia maxwelliana King		Begonia maxwelliana King	Begonia maxwelliana King	
Begonia microsperma	Begoniaceae			Feigenbaumbewachsende Begonie		
Begonia nantoensis	Begoniaceae		Begonia ×nantoensis			
Begonia nelumbiifolia	Begoniaceae		lilypad begonia			
Begonia palmata	Begoniaceae		Category:Begonia palmata			
Begonia radicans	Begoniaceae		shrimp begonia			
Begonia reniformis	Begoniaceae		grape leaf begonia			grape-leaf begonia~grapeleaf begonia~pikonia
Begonia salaziensis	Begoniaceae	Begonia Sauvage				Oseille De Bois~Oseille Maronne~Oseille Sauvage
Begonia salisburyana	Begoniaceae			Begonia salisburyana Irmsch.		
Begonia semperflorens-cultorum	Begoniaceae		Bedding Begonia			
Begonia ulmifolia	Begoniaceae		elm-leaf begonia			elm-leaved begonia
Beilschmiedia collina	Lauraceae		Mountain Blush Walnut			
Beilschmiedia dalzellii	Lauraceae		Dalzell's Walnut			
Beilschmiedia obtusifolia	Lauraceae		hard bolly gum			blush walnut
Beilschmiedia oligandra	Lauraceae		Dogwood			Ivory Walnut
Beilschmiedia pendula	Lauraceae		slugwood			
Beilschmiedia roxburghiana	Lauraceae		Thulo Tarshing			
Beilschmiedia tarairi	Lauraceae		taraire			
Beilschmiedia tawa	Lauraceae		tawa			
Beilschmiedia tooram	Lauraceae		brown walnut			coach walnut~Tooram walnut
Bejaria racemosa	Ericaceae		flyweed			
Bellevalia romana	Asparagaceae	Jacinthe romaine		Römische Hyazinthe		
Bellevalia tabriziana	Asparagaceae	Bellevalia tabriziana Turrill	Bellevalia tabriziana Turrill	Bellevalia tabriziana Turrill	Bellevalia tabriziana Turrill	
Bellevalia trifoliata	Asparagaceae	Bellevalia à trois feuilles				
Bellis annua	Asteraceae	Pâquerette annuelle		Einjähriges Gänseblümchen		
Bellis azorica	Asteraceae		Daisy			
Bellis bernardii	Asteraceae	Paquerette de Bernard				
Bellis hyrcanica	Asteraceae		Hyrkanian Daisy			
Bellis pappulosa	Asteraceae	Pâquerette pappuleuse				Paquerette papuleuse
Bellis perennis	Asteraceae	pâquerette	daisy	Gänseblümchen	Margherite	pâqueret~Ausdauerndes Gänseblümchen~Gänseblume~Maßliebchen~Mehrjähriges Gänseblümchen~Pratolina
Bellis sylvestris	Asteraceae	Pâquerette d'automne	putellis stripties			daisi meisi
Bellium bellidioides	Asteraceae			Echtes Zwerggänseblümchen		Spatelgänseblümchen
Beloglottis costaricensis	Orchidaceae		Costa Rican lady's tresses			
Belonophora wernhamii	Rubiaceae		Category:Belonophora wernhamii			
Bencomia caudata	Rosaceae			Geschwänzte Bencomia		
Bencomia exstipulata	Rosaceae		Guanches’ rose			Summit Bencomia
Benthamia bathieana	Orchidaceae		Orchid			
Benthamia glaberrima	Orchidaceae		Orchid			
Benthamia monophylla	Orchidaceae		Orchid			
Benthamiella azorella	Solanaceae			Saccardohyton azorella		
Bentinckia nicobarica	Arecaceae		Nicobar Islands palm			Nicobar palm
Berardia subacaulis	Asteraceae	Bérardie laineuse		Berardie		
Berberis aggregata	Berberidaceae		salmon barberry	Knäuelfrüchtige Berberitze		
Berberis amurensis	Berberidaceae		Amur barberry	Amur-Berberitze		
Berberis angulosa	Berberidaceae			Kantige Berberitze		
Berberis aristata	Berberidaceae			Begrannte Berberitze		
Berberis asiatica	Berberidaceae			Asiatische Berberitze		
Berberis baluchistanica	Berberidaceae		Barberry			
Berberis bergmanniae	Berberidaceae			Bergmanns Berberitze		
Berberis brachypoda	Berberidaceae			Kurzstielige Berberitze		
Berberis bretschneideri	Berberidaceae			Bretschneiders Berberitze		
Berberis buxifolia	Berberidaceae			Polster-Berberitze		
Berberis calliantha	Berberidaceae			Schönblühende Berberitze		
Berberis canadensis	Berberidaceae		American barberry	Kanadische Berberitze		Allegheny barberry
Berberis candidula	Berberidaceae		Paleleaf barberry	Schneeige Berberitze		Immergrüne Kissen-Berberitze
Berberis concinna	Berberidaceae			Gefällige Berberitze		Niedliche Berberitze
Berberis coxii	Berberidaceae			Cox’ Berberitze		Cox Berberitze~Cox' Berberitze
Berberis darwinii	Berberidaceae		Darwin's barberry	Darwins Berberitze		Darwin's berberis
Berberis diaphana	Berberidaceae			Durchsichtige Berberitze		
Berberis dictyophylla	Berberidaceae			Netzblättrige Berberitze		
Berberis empetrifolia	Berberidaceae			Krähenbeerblättrige Berberitze		Krähenbeer-Berberitze~Krähenbeeren-Berberitze
Berberis fendleri	Berberidaceae		Colorado barberry			
Berberis francisci-ferdinandi	Berberidaceae			Franz-Ferdinand-Berberitze		
Berberis gagnepainii	Berberidaceae		Gagnepain's Barberry	Gagnepains Berberitze		Lanzen-Berberitze
Berberis harrisoniana	Berberidaceae		Harrison's barberry			
Berberis hookeri	Berberidaceae			Hookers Berberitze		
Berberis hypokerina	Berberidaceae			Silberne Berberitze		
Berberis ilicifolia	Berberidaceae			Ilexblättrige Berberitze		
Berberis julianae	Berberidaceae		Chinese barberry	Julianes Berberitze		wintergreen barberry
Berberis kaschgarica	Berberidaceae		Kashgar Barberry			
Berberis koreana	Berberidaceae	Berbéris de Corée	Korean Barberry	Koreanische Berberitze		
Berberis microphylla	Berberidaceae	Berbéris à feuilles de buis	box-leaved barberry	Buchsblättrige Berberitze		Magellan barberry
Berberis poiretii	Berberidaceae			Poirets Berberitze		
Berberis pruinosa	Berberidaceae			Bereifte Berberitze		
Berberis sargentiana	Berberidaceae		Sargent's barberry	Sargents Berberitze		
Berberis swaseyi	Berberidaceae		Texas barberry			
Berberis taronensis	Berberidaceae		Barberry			
Berberis thunbergii	Berberidaceae	Berbéris de Thunberg	Japanese barberry	Thunberg-Berberitze		epine-vinette de thunberg~Grüne Hecken-Berberitze~Thunbergs Berberitze~red barberry~Thunberg's barberry
Berberis trifoliolata	Berberidaceae		algerita			
Berberis trigona	Berberidaceae			Linearblättrige Berberitze		
Berberis valdiviana	Berberidaceae			Valdivia-Berberitze		
Berberis veitchii	Berberidaceae			Veitchs Berberitze		
Berberis vernae	Berberidaceae			Vernas Berberitze		
Berberis verruculosa	Berberidaceae			Warzige Berberitze		
Berberis vulgaris	Berberidaceae	Épine-vinette	common barberry	Berberitze	Crespino comune	Épine vinette~Épine-vinette vulgaire~Essigbeere~Essigdorn~Essigscharf~Geißenlaub
Berberis wilcoxii	Berberidaceae		Wilcox's barberry			
Berberis wilsoniae	Berberidaceae			Wilsons Berberitze		
Berberis wisleyensis	Berberidaceae		Wisley barberry			
Berberis ×carminea	Berberidaceae			Scharlachrote Berberitze		
Berberis ×frikartii	Berberidaceae			Frikarts Berberitze		
Berberis ×lologensis	Berberidaceae			Lolog-Berberitze		
Berberis ×stenophylla	Berberidaceae			Schmalblättrige Berberitze		
Berberis ×toluacensis	Berberidaceae	Mahonia de Toluca				
Berchemia scandens	Rhamnaceae		Alabama supplejack			rattan vine
